2 , Generation , 11 , Euclid , 1306.0313551726397
11 , Generation , 84 , Euclid , 1495.2606134007592
10 , Generation , 78 , Euclid , 1514.287606734345
6 , Generation , 45 , Euclid , 1668.644546871633
7 , Generation , 51 , Euclid , 1743.7027443682323
3 , Generation , 22 , Euclid , 2029.5686096173977
8 , Generation , 58 , Euclid , 2169.8734843200727
4 , Generation , 27 , Euclid , 2296.7115330254173
5 , Generation , 37 , Euclid , 2395.6213473417606
25 , Generation , 194 , Euclid , 22.996146995098115
25 , Generation , 195 , Euclid , 37.845559956720955
25 , Generation , 196 , Euclid , 0
25 , Generation , 197 , Euclid , 0
25 , Generation , 198 , Euclid , 24.052321451007384
25 , Generation , 199 , Euclid , 19.704422968597072
25 , Generation , 200 , Euclid , 31.474577145177918
25 , Generation , 201 , Euclid , 0
25 , Generation , 195 , Euclid , 75.69111991344185
24 , Generation , 188 , Euclid , 159.1546021214798
24 , Generation , 192 , Euclid , 172.8005262032363
22 , Generation , 170 , Euclid , 211.86744581847069
19 , Generation , 147 , Euclid , 244.4495443730619
20 , Generation , 161 , Euclid , 252.99362790520698
21 , Generation , 169 , Euclid , 352.68495410121636
17 , Generation , 137 , Euclid , 407.8614298808994
18 , Generation , 139 , Euclid , 610.5509635645155
16 , Generation , 123 , Euclid , 628.6111681034001
14 , Generation , 107 , Euclid , 805.0836832242875
13 , Generation , 98 , Euclid , 855.4011822812325
1 , Generation , 2 , Euclid , 838.413971232409
15 , Generation , 115 , Euclid , 940.1804964113472
9 , Generation , 70 , Euclid , 1270.6163869162008
12 , Generation , 93 , Euclid , 1361.1467382460896
2 , Generation , 11 , Euclid , 1360.449328304835
11 , Generation , 84 , Euclid , 1594.9446542941419
10 , Generation , 78 , Euclid , 1608.9305821552393
6 , Generation , 45 , Euclid , 1752.0767742152148
7 , Generation , 51 , Euclid , 1835.476573019193
3 , Generation , 22 , Euclid , 2117.8107230790233
8 , Generation , 58 , Euclid , 2290.42201122675
4 , Generation , 27 , Euclid , 2401.1075117993064
5 , Generation , 37 , Euclid , 2509.6985543580377
26 , Generation , 202 , Euclid , 23.46840358565198
26 , Generation , 203 , Euclid , 12.230004481204006
26 , Generation , 204 , Euclid , 0
26 , Generation , 205 , Euclid , 0
26 , Generation , 206 , Euclid , 0
26 , Generation , 207 , Euclid , 11.06513178354093
26 , Generation , 208 , Euclid , 24.159055403314586
26 , Generation , 209 , Euclid , 0
